Country;Year;Grow Rate;Inflation;Unemployment;Export;Import;GDP Per Capita;Coup;Population;Military Size
Greece;2012;-6.4%;1.5%;24.3%;28300000000;53530000000;24900;0;10767830;2485389
Venezuela;2000;3.2%;13%;14,00%;32800000000;14700000000;5500;0;23542650;6398169
Venezuela;2002;-8.9%;31.2%;17,00%;29500000000;18400000000;6200;1;24287670;6647718
Norway;2006;4.6%;2.3%;3.5%;1,11E+11;58120000000;46300;0;4610820;1014592
Norway;2007;3.7%;0.8%;2.5%;1,23E+11;59900000000;53300;0;4627926;1078181
Peru;1990;-4.98%;7481.66%;5,00%;4150000000;3640000000;1197;0;22966818;12500000
Peru;1992;2.38%;73.53%;5.5%;4500000000;5560000000;1566;1;22966818;11200000
Peru;2000;2.69%;3.76%;5.74%;8680000000;9710000000;1956;1;26459944;19300000
Paraguay;1988;5.92%;3.76%;8.97%;2060000000;1560000000;1063;0;4001681;1440000
Paraguay;1989;6.94%;22.59%;8.97%;2470000000;1480000000;1157;1;4112386;1600000
Paraguay;1999;-1.37%;6.75%;9.34%;3780000000;3070000000;1694;0;5216349;3500000
Paraguay;2000;-2.31%;8.98%;9.3%;3840000000;3130000000;1664;1;5323201;3500000
Iraq;2018;0.370;-0.560;8.799;98.589;80.609;-559;0;38433599;20900001
Iraq;2017;0.180;-2.490;8.969;74.399;69.659;-2.491;0;37552780;20900001
Iraq;2016;0.560;15.210;9.059;56.139;69.809;15.209;0;36610631;20900001
Iraq;2015;1.390;2.480;9.119;62.729;73.519;2.479;0;35572260;20900001
Iraq;2014;2.240;0.700;9.109;96.999;86.699;699;0;34411950;17760001
Iraq;2013;1.880;7.600;9.039;93.099;84.499;7.599;0;33157049;80240001
Iraq;2012;6.090;13.940;9.049;96.899;63.439;13.939;0;31890010;80240001
Iraq;2011;5.800;7.550;9.069;82.509;51.549;7.549;0;30725299;80240001
Iraq;2010;2.880;6.400;9.009;54.599;47.209;6.399;0;29741975;65939501
Iraq;2009;6.870;3.380;9.019;43.989;43.869;3.379;0;28973161;57700001
Iraq;2008;12.660;8.230;9.029;66.239;40.439;8.229;0;28385745;36200001
Iraq;2007;-10.070;1.380;9.009;40.779;25.049;1.379;0;27911247;49500001
Iraq;2006;53.230;10.160;9.009;33.239;25.159;10.159;0;27448123;22700001
Iraq;2005;36.960;4.400;8.979;27.149;30.669;4.399;0;26922283;17900001
Iraq;2004;26.960;54.160;8.859;20.609;23.429;54.159;0;26313837;43200001
Iraq;2003;33.620;-33.100;8.799;13.849;13.359;-33.101;0;25644498;43200001
Iraq;2002;19.320;-6.900;8.799;14.419;15.009;-6.901;0;24931918;46700001
Iraq;2001;16.370;2.310;8.799;12.309;14.259;2.309;0;24208179;47900001
Iraq;2000;4.980;1.410;8.799;13.149;14.789;1.409;0;23497584;47900001
Iraq;1999;12.580;17.580;8.799;7.779;12.459;17.579;0;22802063;47900001
Iraq;1998;14.770;34.860;8.799;12.139;14.399;34.859;0;22114323;44290001
Iraq;1997;23.060;21.240;8.799;12.009;13.879;21.239;0;21439573;43250001
Iraq;1996;-16.120;11.020;8.799;9.989;13.369;11.019;0;20783072;40730001
Iraq;1995;387.310;2.120;8.799;11.219;28.299;2.119;1;20149337;42500001
Iraq;1994;448.500;3.850;8.799;12.149;23.939;3.849;0;19539339;40700001
Iraq;1993;207.690;30.290;8.799;33.909;16.859;30.289;0;18955084;40700001
Iraq;1992;83.620;32.590;8.799;23.619;11.779;32.589;1;18402733;47500001
Iraq;1991;180.950;-64.050;8.799;13.469;7.519;-64.051;1;17889458;139000001
Iraq;1990;4.610;57.820;8.799;11.149;8.099;57.819;0;17419112;100000001
Iraq;1989;9.170;-3.120;8.799;10.189;6.379;-3.121;0;16994947;100000001
Iraq;1988;12.820;-0.020;8.799;7.039;5.729;-19;0;16612321;100000002
Iraq;1987;9.520;9.310;8.799;7.029;3.639;9.309;0;16257069;100000003
Iraq;1986;7.700;4.650;8.799;2.379;1.259;4.649;0;15909761;100000004
Iraq;1985;4.890;1.450;8.799;1.519;879;1.449;0;15555799;100000005
Iraq;1984;5.190;-1.490;8.799;1.689;889;-1.491;0;15190392;100000006
Iraq;1983;3.600;-13.070;8.799;1.229;659;-13.071;0;14815655;100000007
Iran;2017;8.040;0.860;11.379;113.239;108.229;4628;0;80673882;56300001
Iran;2016;7.250;2.180;12.039;93.869;87.189;4266;0;79563988;56300001
